,by,descendants,id,kids,score,time,title,type,url,text
0,signa11,70.0,41471707,"[41472140, 41472410, 41472056, 41471936, 41472302, 41472434, 41472269, 41472207, 41471946, 41471900, 41472186, 41471973, 41472247, 41472233, 41472353, 41472237, 41472231, 41472370, 41471880, 41472384, 41472431, 41472344, 41471902, 41472371, 41471737, 41472141, 41472326, 41471893, 41472020, 41472137, 41472296, 41472158, 41471892, 41471883, 41471959, 41471907, 41472109]",104,1725687809,Asynchronous IO: the next billion-dollar mistake?,story,https://yorickpeterse.com/articles/asynchronous-io-the-next-billion-dollar-mistake/,
1,ingve,1.0,41472027,[41472224],19,1725691817,Operating system threads are always going to be (more) expensive,story,https://utcc.utoronto.ca/~cks/space/blog/tech/OSThreadsAlwaysExpensive,
2,shivam-dev,5.0,41471799,"[41472447, 41472366, 41472358, 41472294]",21,1725689112,Check for malicious IPs using DNS,story,https://ipshield.dev/,
3,marttt,10.0,41434106,"[41472279, 41472433, 41472291, 41472325, 41472153]",26,1725365121,How to Make Windows XP Safe (and Fast) (2020),story,http://www.wzsn.net/xp/index.html,
4,jandeboevrie,30.0,41471488,"[41472132, 41472101, 41471743, 41471855, 41471662, 41472036, 41471666, 41471659]",41,1725684277,What's new in C++26 (part 1),story,https://mariusbancila.ro/blog/2024/09/06/whats-new-in-c26-part-1/,
5,h99,20.0,41471157,"[41472348, 41471665, 41472295, 41471492, 41472283, 41472051, 41471546, 41472393, 41472256, 41472034, 41471536]",79,1725676942,Browsing Hacker News in the Terminal,story,https://hnterm.ggerganov.com/,
6,matt_d,28.0,41470074,"[41470771, 41472079, 41471242, 41470907, 41471587, 41470936, 41470711, 41470425, 41470584, 41470531, 41470526, 41470510, 41470331, 41470499]",158,1725660554,Hardware Acceleration of LLMs: A comprehensive survey and comparison,story,https://arxiv.org/abs/2409.03384,
7,a-fadil,212.0,41465735,"[41466156, 41467520, 41471158, 41467064, 41468777, 41470850, 41466103, 41468131, 41469081, 41471609, 41468356, 41468772, 41467720, 41471169, 41466665, 41468417, 41471698, 41467977, 41466148, 41471055, 41466164, 41467956, 41466324, 41467677, 41467790, 41466246, 41466720, 41469378, 41471301, 41469527, 41467856, 41468010, 41469336, 41467144, 41466479, 41466375, 41468272, 41466893, 41468545, 41467022, 41466404, 41466948, 41466605, 41466496, 41469161, 41466909, 41466028, 41466197, 41468082, 41467119, 41468799, 41467357, 41470261, 41466397, 41466471, 41469185, 41468704, 41468408, 41468340, 41468804, 41468656, 41467130, 41466233, 41470663, 41468326, 41472046, 41466473, 41466340, 41466728, 41467970]",717,1725627375,"Show HN: Wealthfolio: Private, open-source investment tracker",story,https://wealthfolio.app,"Thank you for your comments, just some context:<p>- The app is a simple desktop application that works on macOS, Windows, and Ubuntu.<p>- I developed this app for my own needs. Getting tired of SaaS app subscriptions and privacy concerns.<p>- For now, the activities are logged manually or imported from a CSV file. No integration with Plaid or other platforms.<p>- No monetization is planned for now (only a &quot;buy me a coffee&quot; if you use and appreciate the app)."
8,arkadiyt,77.0,41471417,"[41471765, 41472292, 41472075, 41472239, 41471922, 41471923, 41471910, 41471705, 41471788, 41472250, 41471716, 41471853, 41471950, 41472006, 41471792, 41472030, 41471814, 41472148, 41472170, 41471994, 41471951, 41471850, 41471806, 41472440]",98,1725682882,Ford Patents In-Car System That Eavesdrops So It Can Play You Ads,story,https://www.motortrend.com/news/ford-in-vehicle-advertising-patent/,
9,mmphosis,19.0,41470571,"[41470671, 41470664, 41471658, 41471592, 41471588, 41471537, 41470670]",91,1725666912,"QtCS2024: Compile once, Run everywhere",story,https://wiki.qt.io/QtCS2024_Compile_once._Run_everywhere,
